store_number,store_name,address,city,zip_code,store_location,county_number,county
2532,Hy-Vee Food Store #2 / Des Moines,2540 E EUCLID,DES MOINES,50317,POINT (-93.569452 41.627838),77,Polk
2651,Hy-Vee / Waverly,1311 4 STREET SW,WAVERLY,50677,POINT (-92.475403 42.712263),09,Bremer
4457,KUM & GO #422 / IOWA CITY,513 S RIVERSIDE DR,IOWA CITY,52240,POINT (-91.540402 41.653301),52,Johnson
3917,Smokin' Joe's #2 Tobacco and Liquor,1606 W LOCUST ST,DAVENPORT,52804,POINT (-90.599037 41.538254),82,Scott
3525,Wines and Spirits,106 W 2ND ST,WASHINGTON,52353,POINT (-91.692214 41.300399),92,Washington
2655,Hy-Vee Food Store / Clarinda,1200 S 16TH ST,CLARINDA,51632,POINT (-95.037849 40.726808),73,Page
3925,Johncy's Liquor Store Inc,585 HWY 965 S  STE E,NORTH LIBERTY,52317,POINT (-91.60761 41.738129),48,Iowa
3912,Smokin' Joe's #14 Tobacco and Liquor,225 EDGEWOOD RD,CEDAR RAPIDS,52405,,57,Linn
3540,Super Target T-0533 / Davenport,5225 ELMORE AVE,DAVENPORT,52807,POINT (-90.528585 41.573196),82,Scott
4670,Guppy's On The Go / Tripoli,"600, 7TH AVE SW",TRIPOLI,50676,POINT (-92.264269 42.802374),09,Bremer
3963,Tobacco Hut #14 / Council Bluffs,1925 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.873073 41.261866),78,Pottawattamie
2652,Hy-Vee DrugStore / Mason City,875  4TH ST SW,MASON CITY,50401,POINT (-93.213856 43.148257),17,Cerro Gordo
4012,Fast Mart,1401 BUCHANAN ST,DES MOINES,50316,POINT (-93.599362 41.59878),77,Polk
4219,Lake Liquors Wine and Spirits,910 N 8TH ST W,CLEAR LAKE,50428,POINT (-93.396651 43.142775),17,Cerro Gordo
2571,Hy-Vee Food Store #2 / Waterloo,2181 LOGAN AVE,WATERLOO,50703,POINT (-92.337583 42.530476),07,Black Hawk
2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N LAKE ST,STORM LAKE,50588,POINT (-95.200758 42.65318400000001),11,Buena Vista
4593,The Cue Liquors,1404 MAIN ST,ROCK VALLEY,51247,POINT (-96.294873 43.204363),84,Sioux
